Activity,Timestamp,Value
Weight recorded,12/22 3:09 pm,9.2 lbs
Weight recorded,12/22 9:20 am,9.0 lbs
Weight recorded,12/22 8:47 am,13.3 lbs
Weight recorded,12/22 8:26 am,14.7 lbs
Weight recorded,12/22 1:26 am,14.9 lbs
Weight recorded,12/21 7:53 pm,9.3 lbs
Weight recorded,12/21 7:00 pm,13.5 lbs
Weight recorded,12/21 5:28 pm,13.0 lbs
Weight recorded,12/21 4:23 pm,14.3 lbs
Weight recorded,12/21 9:01 am,14.3 lbs
Weight recorded,12/21 8:26 am,12.9 lbs
Weight recorded,12/21 12:18 am,14.6 lbs
Weight recorded,12/20 5:53 pm,9.0 lbs
Weight recorded,12/20 5:44 pm,12.9 lbs
Weight recorded,12/20 5:18 pm,14.4 lbs
Weight recorded,12/20 2:09 pm,13.2 lbs
Weight recorded,12/20 9:07 am,8.9 lbs
Weight recorded,12/20 8:54 am,13.0 lbs
Weight recorded,12/20 1:36 am,14.6 lbs
Weight recorded,12/20 1:33 am,14.4 lbs
Weight recorded,12/19 7:28 pm,9.0 lbs
Weight recorded,12/19 5:08 pm,14.7 lbs
Weight recorded,12/19 3:48 pm,13.2 lbs
Weight recorded,12/19 9:32 am,9.0 lbs
Weight recorded,12/19 8:45 am,13.2 lbs
Weight recorded,12/19 6:11 am,13.3 lbs
Weight recorded,12/18 11:27 pm,15.0 lbs
Weight recorded,12/18 11:09 pm,9.2 lbs
Weight recorded,12/18 5:22 pm,14.9 lbs
Weight recorded,12/18 5:18 pm,13.1 lbs
Weight recorded,12/18 5:17 pm,8.9 lbs
Weight recorded,12/18 9:53 am,9.3 lbs
Weight recorded,12/18 9:01 am,15.2 lbs
Weight recorded,12/18 8:55 am,13.6 lbs
Weight recorded,12/18 8:40 am,14.9 lbs
Weight recorded,12/17 10:09 pm,13.4 lbs
Weight recorded,12/17 6:53 pm,15.2 lbs
Weight recorded,12/17 6:39 pm,13.6 lbs
Weight recorded,12/17 6:27 pm,15.1 lbs
Weight recorded,12/17 5:30 pm,9.2 lbs
Weight recorded,12/17 9:44 am,13.4 lbs
Weight recorded,12/17 8:51 am,9.3 lbs
